item_name;item_category;designation;conductor_material;insulation_material;r_ohm_per_km;x_ohm_per_km;c_nf_per_km;max_i_ka;type;r0n_ohm_per_km;x0n_ohm_per_km;r0g_ohm_per_km;x0g_ohm_per_km;phase_sc_current_rating;cpe_sc_current_rating
3C x 120 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 3C (In Air);3Cx120 2XFY;Copper;XLPE/EPR;0.196;0.0713;670;0.32;Under Ground;0.588;0.2139;0.588;0.2139;17.17;
3C x 120 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 3C (In Duct);3Cx120 2XFY;Copper;XLPE/EPR;0.196;0.0713;670;0.244;Under Ground;0.588;0.2139;0.588;0.2139;17.17;
3C x 150 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 3C (In Ground);3Cx150 2XFY;Copper;XLPE/EPR;0.159;0.0718;640;0.321;Under Ground;0.477;0.2154;0.477;0.2154;21.47;
3C x 150 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 3C (In Air);3Cx150 2XFY;Copper;XLPE/EPR;0.159;0.0718;640;0.365;Under Ground;0.477;0.2154;0.477;0.2154;21.47;
3C x 150 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 3C (In Duct);3Cx150 2XFY;Copper;XLPE/EPR;0.159;0.0718;640;0.273;Under Ground;0.477;0.2154;0.477;0.2154;21.47;
3C x 185 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 3C (In Ground);3Cx185 2XFY;Copper;XLPE/EPR;0.128;0.072;630;0.362;Under Ground;0.384;0.216;0.384;0.216;26.47;
3C x 185 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 3C (In Air);3Cx185 2XFY;Copper;XLPE/EPR;0.128;0.072;630;0.422;Under Ground;0.384;0.216;0.384;0.216;26.47;
3C x 185 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 3C (In Duct);3Cx185 2XFY;Copper;XLPE/EPR;0.128;0.072;630;0.308;Under Ground;0.384;0.216;0.384;0.216;26.47;
3C x 240 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 3C (In Ground);3Cx240 2XFY;Copper;XLPE/EPR;0.0985;0.0713;670;0.418;Under Ground;0.2955;0.2139;0.2955;0.2139;34.34;
3C x 240 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 3C (In Air);3Cx240 2XFY;Copper;XLPE/EPR;0.0985;0.0713;670;0.5;Under Ground;0.2955;0.2139;0.2955;0.2139;34.34;
