item_name;item_category;designation;conductor_material;insulation_material;r_ohm_per_km;x_ohm_per_km;c_nf_per_km;max_i_ka;type;r0n_ohm_per_km;x0n_ohm_per_km;r0g_ohm_per_km;x0g_ohm_per_km;phase_sc_current_rating;cpe_sc_current_rating
4C x 150 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx150 A2XFY;Aluminium;XLPE/EPR;0.264;0.0718;640;0.249;Under Ground;0.792;0.2154;0.792;0.2154;14.18;
4C x 150 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx150 A2XFY;Aluminium;XLPE/EPR;0.264;0.0718;640;0.284;Under Ground;0.792;0.2154;0.792;0.2154;14.18;
4C x 150 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx150 A2XFY;Aluminium;XLPE/EPR;0.264;0.0718;640;0.212;Under Ground;0.792;0.2154;0.792;0.2154;14.18;
4C x 185 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx185 A2XFY;Aluminium;XLPE/EPR;0.211;0.072;630;0.282;Under Ground;0.633;0.216;0.633;0.216;17.48;
4C x 185 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx185 A2XFY;Aluminium;XLPE/EPR;0.211;0.072;630;0.329;Under Ground;0.633;0.216;0.633;0.216;17.48;
4C x 185 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx185 A2XFY;Aluminium;XLPE/EPR;0.211;0.072;630;0.24;Under Ground;0.633;0.216;0.633;0.216;17.48;
4C x 240 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx240 A2XFY;Aluminium;XLPE/EPR;0.161;0.0713;670;0.327;Under Ground;0.483;0.2139;0.483;0.2139;22.68;
4C x 240 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx240 A2XFY;Aluminium;XLPE/EPR;0.161;0.0713;670;0.392;Under Ground;0.483;0.2139;0.483;0.2139;22.68;
4C x 240 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx240 A2XFY;Aluminium;XLPE/EPR;0.161;0.0713;670;0.278;Under Ground;0.483;0.2139;0.483;0.2139;22.68;
4C x 300 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx300 A2XFY;Aluminium;XLPE/EPR;0.129;0.0703;710;0.369;Under Ground;0.387;0.2109;0.387;0.2109;28.35;
4C x 300 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx300 A2XFY;Aluminium;XLPE/EPR;0.129;0.0703;710;0.452;Under Ground;0.387;0.2109;0.387;0.2109;28.35;
4C x 300 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx300 A2XFY;Aluminium;XLPE/EPR;0.129;0.0703;710;0.314;Under Ground;0.387;0.2109;0.387;0.2109;28.35;
4C x 400 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx400 A2XFY;Aluminium;XLPE/EPR;0.101;0.0702;720;0.42;Under Ground;0.303;0.2106;0.303;0.2106;37.8;
4C x 400 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx400 A2XFY;Aluminium;XLPE/EPR;0.101;0.0702;720;0.526;Under Ground;0.303;0.2106;0.303;0.2106;37.8;
4C x 400 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx400 A2XFY;Aluminium;XLPE/EPR;0.101;0.0702;720;0.357;Under Ground;0.303;0.2106;0.303;0.2106;37.8;
4C x 4 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx4 2XFY;Copper;XLPE/EPR;5.88;0.0933;250;0.045;Under Ground;17.64;0.2799;17.64;0.2799;0.57;
4C x 4 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx4 2XFY;Copper;XLPE/EPR;5.88;0.0933;250;0.041;Under Ground;17.64;0.2799;17.64;0.2799;0.57;
4C x 4 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx4 2XFY;Copper;XLPE/EPR;5.88;0.0933;250;0.038;Under Ground;17.64;0.2799;17.64;0.2799;0.57;
4C x 6 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx6 2XFY;Copper;XLPE/EPR;3.93;0.0888;290;0.056;Under Ground;11.79;0.2664;11.79;0.2664;0.86;
4C x 6 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx6 2XFY;Copper;XLPE/EPR;3.93;0.0888;290;0.052;Under Ground;11.79;0.2664;11.79;0.2664;0.86;
4C x 6 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx6 2XFY;Copper;XLPE/EPR;3.93;0.0888;290;0.048;Under Ground;11.79;0.2664;11.79;0.2664;0.86;
4C x 10 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx10 2XFY;Copper;XLPE/EPR;2.33;0.0842;360;0.074;Under Ground;6.99;0.2526;6.99;0.2526;1.43;
4C x 10 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx10 2XFY;Copper;XLPE/EPR;2.33;0.0842;360;0.07;Under Ground;6.99;0.2526;6.99;0.2526;1.43;
4C x 10 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx10 2XFY;Copper;XLPE/EPR;2.33;0.0842;360;0.063;Under Ground;6.99;0.2526;6.99;0.2526;1.43;
4C x 16 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx16 2XFY;Copper;XLPE/EPR;1.47;0.0805;430;0.095;Under Ground;4.41;0.2415;4.41;0.2415;2.29;
4C x 16 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx16 2XFY;Copper;XLPE/EPR;1.47;0.0805;430;0.089;Under Ground;4.41;0.2415;4.41;0.2415;2.29;
4C x 16 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx16 2XFY;Copper;XLPE/EPR;1.47;0.0805;430;0.081;Under Ground;4.41;0.2415;4.41;0.2415;2.29;
4C x 25 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx25 2XFY;Copper;XLPE/EPR;0.93;0.0808;430;0.122;Under Ground;2.79;0.2424;2.79;0.2424;3.58;
4C x 25 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx25 2XFY;Copper;XLPE/EPR;0.93;0.0808;430;0.119;Under Ground;2.79;0.2424;2.79;0.2424;3.58;
4C x 25 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx25 2XFY;Copper;XLPE/EPR;0.93;0.0808;430;0.104;Under Ground;2.79;0.2424;2.79;0.2424;3.58;
4C x 35 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx35 2XFY;Copper;XLPE/EPR;0.668;0.0787;500;0.146;Under Ground;2.004;0.2361;2.004;0.2361;5.01;
4C x 35 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx35 2XFY;Copper;XLPE/EPR;0.668;0.0787;500;0.147;Under Ground;2.004;0.2361;2.004;0.2361;5.01;
4C x 35 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx35 2XFY;Copper;XLPE/EPR;0.668;0.0787;500;0.124;Under Ground;2.004;0.2361;2.004;0.2361;5.01;
4C x 50 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx50 2XFY;Copper;XLPE/EPR;0.494;0.078;530;0.173;Under Ground;1.482;0.234;1.482;0.234;7.16;
4C x 50 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx50 2XFY;Copper;XLPE/EPR;0.494;0.078;530;0.179;Under Ground;1.482;0.234;1.482;0.234;7.16;
4C x 50 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx50 2XFY;Copper;XLPE/EPR;0.494;0.078;530;0.147;Under Ground;1.482;0.234;1.482;0.234;7.16;
4C x 70 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx70 2XFY;Copper;XLPE/EPR;0.342;0.0742;560;0.212;Under Ground;1.026;0.2226;1.026;0.2226;10.02;
4C x 70 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx70 2XFY;Copper;XLPE/EPR;0.342;0.0742;560;0.226;Under Ground;1.026;0.2226;1.026;0.2226;10.02;
4C x 70 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx70 2XFY;Copper;XLPE/EPR;0.342;0.0742;560;0.18;Under Ground;1.026;0.2226;1.026;0.2226;10.02;
4C x 95 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx95 2XFY;Copper;XLPE/EPR;0.247;0.0725;650;0.254;Under Ground;0.741;0.2175;0.741;0.2175;13.59;
4C x 95 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx95 2XFY;Copper;XLPE/EPR;0.247;0.0725;650;0.279;Under Ground;0.741;0.2175;0.741;0.2175;13.59;
4C x 95 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx95 2XFY;Copper;XLPE/EPR;0.247;0.0725;650;0.216;Under Ground;0.741;0.2175;0.741;0.2175;13.59;
4C x 120 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx120 2XFY;Copper;XLPE/EPR;0.196;0.0713;670;0.287;Under Ground;0.588;0.2139;0.588;0.2139;17.17;
4C x 120 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx120 2XFY;Copper;XLPE/EPR;0.196;0.0713;670;0.32;Under Ground;0.588;0.2139;0.588;0.2139;17.17;
4C x 120 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx120 2XFY;Copper;XLPE/EPR;0.196;0.0713;670;0.244;Under Ground;0.588;0.2139;0.588;0.2139;17.17;
4C x 150 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx150 2XFY;Copper;XLPE/EPR;0.159;0.0718;640;0.321;Under Ground;0.477;0.2154;0.477;0.2154;21.47;
4C x 150 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx150 2XFY;Copper;XLPE/EPR;0.159;0.0718;640;0.365;Under Ground;0.477;0.2154;0.477;0.2154;21.47;
4C x 150 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx150 2XFY;Copper;XLPE/EPR;0.159;0.0718;640;0.273;Under Ground;0.477;0.2154;0.477;0.2154;21.47;
4C x 185 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx185 2XFY;Copper;XLPE/EPR;0.128;0.072;630;0.362;Under Ground;0.384;0.216;0.384;0.216;26.47;
4C x 185 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx185 2XFY;Copper;XLPE/EPR;0.128;0.072;630;0.422;Under Ground;0.384;0.216;0.384;0.216;26.47;
4C x 185 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx185 2XFY;Copper;XLPE/EPR;0.128;0.072;630;0.308;Under Ground;0.384;0.216;0.384;0.216;26.47;
4C x 240 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx240 2XFY;Copper;XLPE/EPR;0.0985;0.0713;670;0.418;Under Ground;0.2955;0.2139;0.2955;0.2139;34.34;
4C x 240 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx240 2XFY;Copper;XLPE/EPR;0.0985;0.0713;670;0.5;Under Ground;0.2955;0.2139;0.2955;0.2139;34.34;
4C x 240 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx240 2XFY;Copper;XLPE/EPR;0.0985;0.0713;670;0.355;Under Ground;0.2955;0.2139;0.2955;0.2139;34.34;
4C x 300 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 4C (In Ground);4Cx300 2XFY;Copper;XLPE/EPR;0.0796;0.0703;710;0.469;Under Ground;0.2388;0.2109;0.2388;0.2109;42.93;
4C x 300 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 4C (In Air);4Cx300 2XFY;Copper;XLPE/EPR;0.0796;0.0703;710;0.574;Under Ground;0.2388;0.2109;0.2388;0.2109;42.93;
4C x 300 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 4C (In Duct);4Cx300 2XFY;Copper;XLPE/EPR;0.0796;0.0703;710;0.399;Under Ground;0.2388;0.2109;0.2388;0.2109;42.93;
